Almond EADDCA
Amber FFBF00
Apricot	FBCEB1
Beige F5F5DC
Brass E1C16E
BrightYellow FFEA00
CadmiumYellow FDDA0D
CanaryYellow FFFF8F
Chartreuse DFFF00
Citrine	E4D00A
Cornsilk FFF8DC
Cream FFFDD0
DarkYellow 8B8000
Desert FAD5A5
Ecru C2B280
Flax EEDC82
Gamboge	E49B0F
Gold FFD700
GoldenYellow FFC000
Goldenrod DAA520
Icterine FCF55F
Ivory FFFFF0
Jasmine	F8DE7E
Khaki F0E68C
LemonYellow	FAFA33
Maize FBEC5D
Mango F4BB44
MustardYellow FFDB58
NaplesYellow FADA5E
NavajoWhite	FFDEAD
Nyanza ECFFDC
PastelYellow FFFAA0
Peach FFE5B4
Pear C9CC3F
Peridot	B4C424
Pistachio 93C572
Saffron	F4C430
